"fips","year","percent_unemployed"
1111,"2009",14.9
1111,"2010",13.4
1111,"2011",11.4
1111,"2012",9.2
1111,"2013",7.8
1111,"2014",6.7
1111,"2015",5.9
1113,"2007",6.1
1113,"2008",8.0
1113,"2009",12.3
1113,"2010",10.9
1113,"2011",10.3
1113,"2012",8.8
1113,"2013",7.3
1113,"2014",6.6
1113,"2015",6.0
1115,"2007",3.4
1115,"2008",5.0
1115,"2009",10.9
1115,"2010",10.1
1115,"2011",8.8
1115,"2012",6.9
1115,"2013",6.1
1115,"2014",5.8
1115,"2015",5.2
1117,"2007",2.6
1117,"2008",3.7
1117,"2009",7.8
1117,"2010",7.1
1117,"2011",6.2
1117,"2012",5.0
1117,"2013",4.6
1117,"2014",4.5
1117,"2015",4.2
1119,"2007",6.5
1119,"2008",8.7
1119,"2009",14.9
1119,"2010",13.3
1119,"2011",13.1
1119,"2012",10.5
1119,"2013",9.1
1119,"2014",8.5
1119,"2015",8.0
1121,"2007",5.2
1121,"2008",7.2
1121,"2009",14.4
1121,"2010",13.5
1121,"2011",11.6
1121,"2012",9.4
1121,"2013",8.6
1121,"2014",7.8
1121,"2015",6.6
1123,"2007",5.3
1123,"2008",7.2
1123,"2009",13.6
1123,"2010",13.1
1123,"2011",11.4
1123,"2012",8.6
1123,"2013",8.1
1123,"2014",7.5
1123,"2015",6.1
1125,"2007",3.3
1125,"2008",4.7
1125,"2009",10.2
1125,"2010",9.2
1125,"2011",8.3
1125,"2012",7.0
1125,"2013",6.4
1125,"2014",5.9
1125,"2015",5.5
1127,"2007",4.3
1127,"2008",5.7
1127,"2009",11.6
1127,"2010",12.7
1127,"2011",11.3
1127,"2012",9.2
1127,"2013",8.4
1127,"2014",7.9
1127,"2015",7.2
1129,"2007",5.9
1129,"2008",8.4
1129,"2009",15.1
1129,"2010",14.2
1129,"2011",14.6
1129,"2012",11.9
1129,"2013",10.9
1129,"2014",9.6
1129,"2015",8.9
1131,"2007",9.7
1131,"2008",14.0
1131,"2009",26.0
1131,"2010",26.3
1131,"2011",23.2
1131,"2012",20.0
1131,"2013",19.3
1131,"2014",17.0
1131,"2015",14.7
1133,"2007",5.6
1133,"2008",8.7
1133,"2009",17.7
1133,"2010",16.0
1133,"2011",13.5
1133,"2012",10.0
1133,"2013",9.4
1133,"2014",8.6
1133,"2015",7.6
2000,"2007",6.3
2000,"2008",6.7
2000,"2009",7.7
2000,"2010",7.9
2000,"2011",7.6
2000,"2012",7.1
2000,"2013",6.9
2000,"2014",6.9
2000,"2015",6.5
2013,"2007",8.0
2013,"2008",8.7
2013,"2009",9.9
2013,"2010",5.6
2013,"2011",6.2
2013,"2012",6.8
2013,"2013",6.0
2013,"2014",4.5
2013,"2015",3.2
2016,"2007",5.4
2016,"2008",5.8
2016,"2009",7.0
2016,"2010",5.1
2016,"2011",5.8
2016,"2012",6.9
2016,"2013",6.9
2016,"2014",4.8
2016,"2015",3.8
2020,"2007",5.1
2020,"2008",5.4
2020,"2009",6.5
2020,"2010",6.6
2020,"2011",6.0
2020,"2012",5.4
2020,"2013",5.2
2020,"2014",5.2
2020,"2015",5.0
2050,"2007",12.8
2050,"2008",13.9
2050,"2009",14.1
2050,"2010",14.6
2050,"2011",15.0
2050,"2012",15.4
2050,"2013",16.0
2050,"2014",16.1
2050,"2015",14.4
2060,"2007",4.7
2060,"2008",4.9
2060,"2009",4.8
2060,"2010",9.7
2060,"2011",8.9
2060,"2012",9.8
2060,"2013",8.8
2060,"2014",8.0
2060,"2015",9.2
2068,"2007",6.2
2068,"2008",6.1
2068,"2009",8.3
2068,"2010",11.9
2068,"2011",13.7
2068,"2012",13.8
2068,"2013",12.4
2068,"2014",10.3
2068,"2015",8.7
2070,"2007",9.1
2070,"2008",9.3
2070,"2009",10.2
2070,"2010",10.1
2070,"2011",10.6
2070,"2012",9.9
2070,"2013",10.1
2070,"2014",10.0
2070,"2015",9.7
2090,"2007",5.6
2090,"2008",6.1
2090,"2009",7.1
2090,"2010",6.6
2090,"2011",6.4
2090,"2012",6.1
2090,"2013",5.8
2090,"2014",5.8
2090,"2015",5.4
2100,"2007",7.4
2100,"2008",8.8
2100,"2009",9.0
2100,"2010",10.6
2100,"2011",10.0
2100,"2012",10.0
2100,"2013",10.1
2100,"2014",10.7
2100,"2015",9.7
2105,"2010",14.0
2105,"2011",15.1
2105,"2012",14.4
2105,"2013",14.6
2105,"2014",15.1
2105,"2015",15.0
2110,"2007",4.5
2110,"2008",4.8
2110,"2009",5.9
2110,"2010",5.9
2110,"2011",5.6
2110,"2012",5.1
2110,"2013",5.0
2110,"2014",5.0
2110,"2015",4.6
2122,"2007",7.9
2122,"2008",8.2
2122,"2009",9.8
2122,"2010",10.0
2122,"2011",9.5
2122,"2012",8.6
2122,"2013",8.0
2122,"2014",7.8
2122,"2015",7.8
2130,"2007",5.7
2130,"2008",5.9
2130,"2009",7.1
2130,"2010",8.7
2130,"2011",8.6
2130,"2012",8.1
2130,"2013",7.7
2130,"2014",7.8
2130,"2015",6.8
2150,"2007",6.3
2150,"2008",6.8
2150,"2009",7.1
2150,"2010",7.4
2150,"2011",7.4
2150,"2012",6.7
2150,"2013",6.2
2150,"2014",5.7
2150,"2015",4.9
2158,"2007",20.4
2158,"2008",20.6
2158,"2009",20.8
2158,"2010",20.4
2158,"2011",21.1
2158,"2012",22.1
2158,"2013",23.5
2158,"2014",23.8
2158,"2015",23.2
2164,"2007",5.5
2164,"2008",6.9
2164,"2009",8.1
2164,"2010",14.4
2164,"2011",15.0
2164,"2012",15.2
2164,"2013",15.4
2164,"2014",16.3
2164,"2015",12.7
2170,"2007",7.2
2170,"2008",7.6
2170,"2009",8.9
2170,"2010",9.4
2170,"2011",9.2
2170,"2012",8.6
2170,"2013",8.3
2170,"2014",8.0
2170,"2015",7.8
2180,"2007",11.1
2180,"2008",10.4
2180,"2009",11.7
2180,"2010",12.6
2180,"2011",12.3
2180,"2012",11.7
2180,"2013",12.2
2180,"2014",12.3
2180,"2015",11.7
2185,"2007",5.4
2185,"2008",4.2
2185,"2009",4.7
2185,"2010",8.0
2185,"2011",7.6
2185,"2012",7.7
2185,"2013",7.2
2185,"2014",5.9
2185,"2015",5.6
2188,"2007",10.8
2188,"2008",11.6
2188,"2009",11.9
2188,"2010",13.4
2188,"2011",15.5
2188,"2012",15.7
2188,"2013",16.3
2188,"2014",17.0
2188,"2015",15.5
2195,"2010",7.9
2195,"2011",8.4
2195,"2012",8.1
2195,"2013",8.8
2195,"2014",9.5
2195,"2015",8.9
2198,"2010",10.5
2198,"2011",12.4
2198,"2012",13.3
2198,"2013",12.0
2198,"2014",13.3
2198,"2015",12.5
2220,"2007",5.1
2220,"2008",5.8
2220,"2009",6.2
2220,"2010",6.3
2220,"2011",6.1
2220,"2012",5.7
2220,"2013",5.4
2220,"2014",5.1
2220,"2015",4.5
2230,"2010",14.5
2230,"2011",16.2
2230,"2012",14.2
2230,"2013",12.3
2230,"2014",11.9
2230,"2015",11.5
2240,"2007",8.7
2240,"2008",8.8
2240,"2009",9.6
2240,"2010",11.9
2240,"2011",12.4
2240,"2012",12.9
2240,"2013",13.0
2240,"2014",13.2
2240,"2015",10.8
2261,"2007",8.4
2261,"2008",8.4
2261,"2009",8.5
2261,"2010",9.4
2261,"2011",9.9
2261,"2012",9.7
2261,"2013",9.9
2261,"2014",9.6
2261,"2015",8.8
2275,"2010",8.0
2275,"2011",7.5
2275,"2012",8.2
2275,"2013",7.9
2275,"2014",8.5
2275,"2015",7.8
2282,"2007",6.8
2282,"2008",7.5
2282,"2009",11.5
2282,"2010",10.8
2282,"2011",10.6
2282,"2012",9.7
2282,"2013",9.4
2282,"2014",9.9
2282,"2015",8.3
2290,"2007",13.8
2290,"2008",14.1
2290,"2009",14.1
2290,"2010",17.2
